pair_key,pair_instance_index,theme_guess,pairing_method,eo_filename,ir_filename,eo_duration_seconds,ir_duration_seconds,duration_delta_seconds,eo_fps,ir_fps,eo_frame_count,ir_frame_count,eo_resolution,ir_resolution,eo_path,ir_path,eo_file_size_bytes,ir_file_size_bytes,eo_bitrate_mbps,ir_bitrate_mbps,eo_duration_source,ir_duration_source,eo_metadata_error,ir_metadata_error
5th wheel,1,5th Wheel,exact,5th.Wheel_EO.ts,5th.Wheel_IR.ts,96.68,97.447,0.767,59.94,59.94,5795,5841,1280x720,1280x720,/media/storage/raw/maritime/5th.Wheel_EO.ts,/media/storage/raw/maritime/5th.Wheel_IR.ts,107920272,108788644,8.93,8.931,header,header,,
air canada airliner,1,Air Canada Airliner,exact,Air_Canada_Airliner_EO.ts,Air_Canada_Airliner_IR.ts,165.515,170.537,5.022,59.94,59.94,9921,10222,1280x720,1280x720,/media/storage/raw/maritime/Air_Canada_Airliner_EO.ts,/media/storage/raw/maritime/Air_Canada_Airliner_IR.ts,191781056,191376668,9.27,8.978,grab_count,header,,
airplane,1,Airplane,exact,Airplane_EO.ts,Airplane_IR.ts,138.972,136.47,2.502,59.94,59.94,8330,8180,1280x720,1280x720,/media/storage/raw/maritime/Airplane_EO.ts,/media/storage/raw/maritime/Airplane_IR.ts,156066884,153006056,8.984,8.969,header,header,,
automobile,1,Automobile,exact,Automobile_EO.ts,Automobile_IR.ts,97.814,94.911,2.903,59.94,59.94,5863,5689,1280x720,1280x720,/media/storage/raw/maritime/Automobile_EO.ts,/media/storage/raw/maritime/Automobile_IR.ts,108493860,106536968,8.873,8.98,header,grab_count,,
cargo ship horizon,1,Cargo Ship Horizon,exact,Cargo.Ship_Horizon_EO.ts,Cargo.Ship_Horizon_IR.ts,258.775,257.157,1.618,59.94,59.94,15511,15414,1280x720,1280x720,/media/storage/raw/maritime/Cargo.Ship_Horizon_EO.ts,/media/storage/raw/maritime/Cargo.Ship_Horizon_IR.ts,289242512,287646580,8.942,8.949,header,header,,
cargo truck,1,Cargo Truck,exact,Cargo.Truck_EO.ts,Cargo.Truck_IR.ts,113.28,113.397,0.117,59.94,59.94,6790,6797,1280x720,1280x720,/media/storage/raw/maritime/Cargo.Truck_EO.ts,/media/storage/raw/maritime/Cargo.Truck_IR.ts,126194060,126142172,8.912,8.899,header,header,,
cargo truck 2,1,Cargo Truck 2,exact,Cargo.Truck.2_EO.ts,Cargo.Truck.2_IR.ts,91.642,89.923,1.718,59.94,59.94,5493,5390,1280x720,1280x720,/media/storage/raw/maritime/Cargo.Truck.2_EO.ts,/media/storage/raw/maritime/Cargo.Truck.2_IR.ts,101989436,100022956,8.903,8.899,header,header,,
container ship,1,Container Ship,exact,Container.Ship_EO.ts,Container.Ship_IR.ts,392.225,114.865,277.36,59.94,59.94,23510,6885,1280x720,1280x720,/media/storage/raw/maritime/Container.Ship_EO.ts,/media/storage/raw/maritime/Container.Ship_IR.ts,100745216,128683180,2.055,8.962,header,grab_count,,
covered boat,1,Covered Boat,exact,Covered.Boat_EO.ts,Covered.Boat_IR.ts,59.977,52.302,7.674,59.94,59.94,3595,3135,1280x720,1280x720,/media/storage/raw/maritime/Covered.Boat_EO.ts,/media/storage/raw/maritime/Covered.Boat_IR.ts,66174976,58933248,8.827,9.014,header,grab_count,,
docked ferry 1,1,Docked Ferry 1,exact,Docked_Ferry.1_EO.ts,Docked Ferry.1_IR.ts,199.866,199.666,0.2,59.94,59.94,11980,11968,1280x720,1280x720,/media/storage/raw/maritime/Docked_Ferry.1_EO.ts,/media/storage/raw/maritime/Docked Ferry.1_IR.ts,223460560,223468456,8.944,8.954,header,header,,
docked ferry 2,1,Docked Ferry 2,exact,Docked Ferry.2_EO.ts,Docked Ferry.2_IR.ts,134.551,134.568,0.017,59.94,59.94,8065,8066,1280x720,1280x720,/media/storage/raw/maritime/Docked Ferry.2_EO.ts,/media/storage/raw/maritime/Docked Ferry.2_IR.ts,150354692,150503964,8.94,8.947,header,header,,
ferry,1,Ferry,exact,Ferry_EO.ts,Ferry_IR.ts,93.21,88.639,4.571,59.94,59.94,5587,5313,1280x720,1280x720,/media/storage/raw/maritime/Ferry_EO.ts,/media/storage/raw/maritime/Ferry_IR.ts,103776376,98901912,8.907,8.926,header,header,,
ferry 2,1,Ferry 2,exact,Ferry.2_EO.ts,Ferry.2_IR.ts,156.89,151.568,5.322,59.94,59.94,9404,9085,1280x720,1280x720,/media/storage/raw/maritime/Ferry.2_EO.ts,/media/storage/raw/maritime/Ferry.2_IR.ts,174428656,168667772,8.894,8.903,header,header,,
ferry under way,1,Ferry Under Way,exact,Ferry_Under_Way_EO.ts,Ferry_Under_way_IR.ts,83.784,83.617,0.167,59.94,59.94,5022,5012,1280x720,1280x720,/media/storage/raw/maritime/Ferry_Under_Way_EO.ts,/media/storage/raw/maritime/Ferry_Under_way_IR.ts,93209460,93458184,8.9,8.942,header,header,,
ferry under way 2,1,Ferry Under Way 2,exact,Ferry Under Way.2_EO.ts,Ferry Under Way.2_IR.ts,95.195,95.295,0.1,59.94,59.94,5706,5712,1280x720,1280x720,/media/storage/raw/maritime/Ferry Under Way.2_EO.ts,/media/storage/raw/maritime/Ferry Under Way.2_IR.ts,106261172,106433756,8.93,8.935,header,header,,
ferry v1,1,Ferry V1,exact,Ferry_v1_EO.ts,Ferry_v1_IR.ts,115.866,116.002,0.136,59.94,0.776,6945,90,1280x720,1280x720,/media/storage/raw/maritime/Ferry_v1_EO.ts,/media/storage/raw/maritime/Ferry_v1_IR.ts,129152804,129237404,8.917,8.913,header,header,,
fishing boat,1,Fishing Boat,exact,Fishing.Boat_EO.ts,Fishing.Boat_IR.ts,110.877,111.328,0.45,59.94,59.94,6646,6673,1280x720,1280x720,/media/storage/raw/maritime/Fishing.Boat_EO.ts,/media/storage/raw/maritime/Fishing.Boat_IR.ts,123714528,124133016,8.926,8.92,header,header,,
fishing boat 2,1,Fishing Boat 2,exact,Fishing.Boat.2_EO.ts,Fishing.Boat.2_IR.ts,83.383,78.078,5.305,59.94,59.94,4998,4680,1280x720,1280x720,/media/storage/raw/maritime/Fishing.Boat.2_EO.ts,/media/storage/raw/maritime/Fishing.Boat.2_IR.ts,92684288,87179264,8.892,8.933,header,header,,
fishing boat 3,1,Fishing Boat 3,exact,Fishing.boat-3_EO.ts,Fishing.boat-3_IR.ts,127.511,127.077,0.434,59.94,59.94,7643,7617,1280x720,1280x720,/media/storage/raw/maritime/Fishing.boat-3_EO.ts,/media/storage/raw/maritime/Fishing.boat-3_IR.ts,142644812,142220872,8.95,8.953,header,header,,
flatbead,1,Flatbead,exact,Flatbead_EO.ts,Flatbead_IR.ts,114.164,112.529,1.635,59.94,59.94,6843,6745,1280x720,1280x720,/media/storage/raw/maritime/Flatbead_EO.ts,/media/storage/raw/maritime/Flatbead_IR.ts,127161884,125441684,8.911,8.918,header,header,,
freighter 3000,1,Freighter 3000,exact,Freighter_EO_3000.ts,Freighter_IR_3000.ts,192.0,194.861,2.861,0.167,59.94,32,11680,1280x720,1280x720,/media/storage/raw/maritime/Freighter_EO_3000.ts,/media/storage/raw/maritime/Freighter_IR_3000.ts,217569768,217552096,9.065,8.932,header,header,,
garbage truck,1,Garbage Truck,exact,Garbage.Truck_EO.ts,Garbage.Truck_IR.ts,120.871,120.804,0.067,59.94,59.94,7245,7241,1280x720,1280x720,/media/storage/raw/maritime/Garbage.Truck_EO.ts,/media/storage/raw/maritime/Garbage.Truck_IR.ts,134856348,134735464,8.926,8.923,header,header,,
helicopter,1,Helicopter,exact,Helicopter_EO.ts,Helicopter_IR.ts,109.126,108.842,0.284,59.94,59.94,6541,6524,1280x720,1280x720,/media/storage/raw/maritime/Helicopter_EO.ts,/media/storage/raw/maritime/Helicopter_IR.ts,122345136,122059940,8.969,8.972,header,header,,
houseboat,1,Houseboat,exact,Houseboat_EO.ts,Houseboat_IR.ts,95.212,95.395,0.184,59.94,59.94,5707,5718,1280x720,1280x720,/media/storage/raw/maritime/Houseboat_EO.ts,/media/storage/raw/maritime/Houseboat_IR.ts,106375100,106592616,8.938,8.939,header,header,,
